Year	Punxsutawney Phil
1886	No Record
1887	Full Shadow
1888	Full Shadow
1889	No Record
1890	No Shadow
1891	No Record
1892	No Record
1893	No Record
1894	No Record
1895	No Record
1896	No Record
1897	No Record
1898	Full Shadow
1899	No Record
1900	Full Shadow
1901	Full Shadow
1902	No Record
1903	Full Shadow
1904	Full Shadow
1905	Full Shadow
1906	Full Shadow
1907	Full Shadow
1908	Full Shadow
1909	Full Shadow
1910	Full Shadow
1911	Full Shadow
1912	Full Shadow
1913	Full Shadow
1914	Full Shadow
1915	Full Shadow
1916	Full Shadow
1917	Full Shadow
1918	Full Shadow
1919	Full Shadow
1920	Full Shadow
1921	Full Shadow
1922	Full Shadow
1923	Full Shadow
1924	Full Shadow
1925	Full Shadow
1926	Full Shadow
1927	Full Shadow
1928	Full Shadow
1929	Full Shadow
1930	Full Shadow
1931	Full Shadow
1932	Full Shadow
1933	Full Shadow
1934	No Shadow
1935	Full Shadow
1936	Full Shadow
1937	Full Shadow
1938	Full Shadow
1939	Full Shadow
1940	Full Shadow
1941	Full Shadow
1942	Partial Shadow
1943	No Record
1944	Full Shadow
1945	Full Shadow
1946	Full Shadow
1947	Full Shadow
1948	Full Shadow
1949	Full Shadow
1950	No Shadow
1951	Full Shadow
1952	Full Shadow
1953	Full Shadow
1954	Full Shadow
1955	Full Shadow
1956	Full Shadow
1957	Full Shadow
1958	Full Shadow
1959	Full Shadow
1960	Full Shadow
1961	Full Shadow
1962	Full Shadow
1963	Full Shadow
1964	Full Shadow
1965	Full Shadow
1966	Full Shadow
1967	Full Shadow
1968	Full Shadow
1969	Full Shadow
1970	No Shadow
1971	Full Shadow
1972	Full Shadow
1973	Full Shadow
1974	Full Shadow
1975	No Shadow
1976	Full Shadow
1977	Full Shadow
1978	Full Shadow
1979	Full Shadow
1980	Full Shadow
1981	Full Shadow
1982	Full Shadow
1983	No Shadow
1984	Full Shadow
1985	Full Shadow
1986	No Shadow
1987	Full Shadow
1988	No Shadow
1989	Full Shadow
1990	No Shadow
1991	Full Shadow
1992	Full Shadow
1993	Full Shadow
1994	Full Shadow
1995	No Shadow
1996	Full Shadow
1997	No Shadow
1998	Full Shadow
1999	No Shadow
2000	Full Shadow
2001	Full Shadow
2002	Full Shadow
2003	Full Shadow
2004	Full Shadow
2005	Full Shadow
2006	Full Shadow
2007	No Shadow
2008	Full Shadow
2009	Full Shadow
2010	Full Shadow
2011	No Shadow
2012	Full Shadow
2013	No Shadow
2014	Full Shadow
2015	Full Shadow
2016	No Shadow
